[DEBUG-VA-CONT] Continuous Simulation (V_READ_TH=0.6 기준)
Smooth Params: V_read=0.1, Hyst=0.1
LOG t=4.200000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=6.690838e+03 I_raw=7.725413e-05 I_lpf=1.025703e-04 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.300000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=7.174823e+03 I_raw=7.136493e-05 I_lpf=8.696760e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.400000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=7.601114e+03 I_raw=6.692491e-05 I_lpf=7.694625e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.500000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=7.976591e+03 I_raw=6.348248e-05 I_lpf=7.021437e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.600000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=8.307310e+03 I_raw=6.075517e-05 I_lpf=6.548477e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.700000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=8.598606e+03 I_raw=5.855718e-05 I_lpf=6.202097e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.800000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=8.855179e+03 I_raw=5.676124e-05 I_lpf=5.939111e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.900000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=9.081167e+03 I_raw=5.527725e-05 I_lpf=5.733418e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.000000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=9.280217e+03 I_raw=5.403961e-05 I_lpf=5.568689e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.100000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=9.455540e+03 I_raw=5.299943e-05 I_lpf=5.434316e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.200000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=9.609963e+03 I_raw=5.211952e-05 I_lpf=5.323134e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.300000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=9.745979e+03 I_raw=5.137109e-05 I_lpf=5.230121e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.400000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=9.865782e+03 I_raw=5.073152e-05 I_lpf=5.151637e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.500000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=9.971303e+03 I_raw=5.018279e-05 I_lpf=5.084958e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.600000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=1.006425e+04 I_raw=4.971040e-05 I_lpf=5.027999e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.700000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=1.014611e+04 I_raw=4.930252e-05 I_lpf=4.979125e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.800000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=1.021822e+04 I_raw=4.894945e-05 I_lpf=4.937035e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=5.900000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=1.028173e+04 I_raw=4.864316e-05 I_lpf=4.900676e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=6.000000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=1.033767e+04 I_raw=4.837693e-05 I_lpf=4.869184e-05 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=6.100000e-08 V=+0.450000 dV=-0.050000 | gate_W=0.0474 | r_ref=+41.0428 W_targ=1.0000 W_next=1.0000 | R=1.022547e+04 I_raw=4.414277e-05 I_lpf=4.641731e-05 | alpha=+0.5980 logHr=+9.3103 logLr=+8.1293
LOG t=6.200000e-08 V=+0.400000 dV=-0.050000 | gate_W=0.0180 | r_ref=+50.8963 W_targ=1.0000 W_next=1.0000 | R=1.019111e+04 I_raw=3.927966e-05 I_lpf=4.284848e-05 | alpha=+0.6215 logHr=+9.3439 logLr=+8.0711
LOG t=6.300000e-08 V=+0.350000 dV=-0.050000 | gate_W=0.0067 | r_ref=+60.3247 W_targ=1.0000 W_next=1.0000 | R=1.018034e+04 I_raw=3.438674e-05 I_lpf=3.861761e-05 | alpha=+0.6441 logHr=+9.3662 logLr=+7.9943
LOG t=6.400000e-08 V=+0.300000 dV=-0.050000 | gate_W=0.0025 | r_ref=+69.3443 W_targ=1.0000 W_next=1.0000 | R=1.017692e+04 I_raw=2.948003e-05 I_lpf=3.404882e-05 | alpha=+0.6657 logHr=+9.3814 logLr=+7.8940
LOG t=6.500000e-08 V=+0.250000 dV=-0.050000 | gate_W=0.0009 | r_ref=+77.9725 W_targ=1.0000 W_next=1.0000 | R=1.017582e+04 I_raw=2.456841e-05 I_lpf=2.930862e-05 | alpha=+0.6864 logHr=+9.3919 logLr=+7.7639
LOG t=6.600000e-08 V=+0.200000 dV=-0.050000 | gate_W=0.0003 | r_ref=+86.2254 W_targ=1.0000 W_next=1.0000 | R=1.017546e+04 I_raw=1.965521e-05 I_lpf=2.448191e-05 | alpha=+0.7061 logHr=+9.3994 logLr=+7.5970
LOG t=6.700000e-08 V=+0.150000 dV=-0.050000 | gate_W=0.0001 | r_ref=+94.1140 W_targ=1.0000 W_next=1.0000 | R=1.017535e+04 I_raw=1.474153e-05 I_lpf=1.961172e-05 | alpha=+0.7250 logHr=+9.4048 logLr=+7.3857
LOG t=6.800000e-08 V=+0.100000 dV=-0.050000 | gate_W=0.0000 | r_ref=+101.6444 W_targ=1.0000 W_next=1.0000 | R=1.017531e+04 I_raw=9.827713e-06 I_lpf=1.471972e-05 | alpha=+0.7430 logHr=+9.4087 logLr=+7.1226
LOG t=6.900000e-08 V=+0.050000 dV=-0.050000 | gate_W=0.0000 | r_ref=+108.8175 W_targ=1.0000 W_next=1.0000 | R=1.017530e+04 I_raw=4.913861e-06 I_lpf=9.816789e-06 | alpha=+0.7602 logHr=+9.4117 logLr=+6.8015
LOG t=7.000000e-08 V=+0.000000 dV=-0.050000 | gate_W=0.0000 | r_ref=+115.6299 W_targ=1.0000 W_next=1.0000 | R=1.017530e+04 I_raw=0.000000e+00 I_lpf=4.908395e-06 | alpha=+0.7765 logHr=+9.4140 logLr=+6.4188
LOG t=7.100000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017531e+04 I_raw=0.000000e+00 I_lpf=2.454197e-06 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.200000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017532e+04 I_raw=0.000000e+00 I_lpf=1.227099e-06 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.300000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017533e+04 I_raw=0.000000e+00 I_lpf=6.135493e-07 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.400000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017534e+04 I_raw=0.000000e+00 I_lpf=3.067747e-07 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.500000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017535e+04 I_raw=0.000000e+00 I_lpf=1.533873e-07 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.600000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017536e+04 I_raw=0.000000e+00 I_lpf=7.669366e-08 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
