[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=1.550000e-07 V=-1.250000 | gate_W=1.0000 | r_ref=+188.4754 | R=1.176552e+04 I=-1.0624e-04
VALID t=1.560000e-07 V=-1.200000 | gate_W=1.0000 | r_ref=+187.4098 | R=1.173346e+04 I=-1.0227e-04
VALID t=1.570000e-07 V=-1.150000 | gate_W=1.0000 | r_ref=+186.2319 | R=1.169803e+04 I=-9.8307e-05
VALID t=1.580000e-07 V=-1.100000 | gate_W=1.0000 | r_ref=+184.9285 | R=1.165882e+04 I=-9.4349e-05
VALID t=1.590000e-07 V=-1.050000 | gate_W=0.9999 | r_ref=+183.4835 | R=1.161531e+04 I=-9.0398e-05
VALID t=1.600000e-07 V=-1.000000 | gate_W=0.9997 | r_ref=+181.8803 | R=1.156703e+04 I=-8.6453e-05
VALID t=1.610000e-07 V=-0.950000 | gate_W=0.9991 | r_ref=+180.0998 | R=1.151340e+04 I=-8.2513e-05
VALID t=1.620000e-07 V=-0.900000 | gate_W=0.9975 | r_ref=+178.1232 | R=1.145383e+04 I=-7.8576e-05
VALID t=1.630000e-07 V=-0.850000 | gate_W=0.9933 | r_ref=+175.9324 | R=1.138777e+04 I=-7.4642e-05
VALID t=1.640000e-07 V=-0.800000 | gate_W=0.9820 | r_ref=+173.5163 | R=1.131486e+04 I=-7.0704e-05
VALID t=1.650000e-07 V=-0.750000 | gate_W=0.9526 | r_ref=+170.8881 | R=1.123549e+04 I=-6.6753e-05
VALID t=1.660000e-07 V=-0.700000 | gate_W=0.8808 | r_ref=+168.1222 | R=1.115189e+04 I=-6.2770e-05
VALID t=1.670000e-07 V=-0.650000 | gate_W=0.7311 | r_ref=+165.4150 | R=1.106999e+04 I=-5.8719e-05
VALID t=1.680000e-07 V=-0.600000 | gate_W=0.5000 | r_ref=+163.0811 | R=1.099931e+04 I=-5.4551e-05
VALID t=1.690000e-07 V=-0.550000 | gate_W=0.2689 | r_ref=+161.3677 | R=1.094738e+04 I=-5.0243e-05
VALID t=1.700000e-07 V=-0.500000 | gate_W=0.1192 | r_ref=+160.2856 | R=1.091457e+04 I=-4.5813e-05
VALID t=1.710000e-07 V=-0.450000 | gate_W=0.0474 | r_ref=+159.6780 | R=1.089614e+04 I=-4.1301e-05
VALID t=1.720000e-07 V=-0.400000 | gate_W=0.0180 | r_ref=+159.3644 | R=1.088664e+04 I=-3.6744e-05
